Id	ArticleIds	AuthorList	DOI	PubDate	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
30909928	DictElement({'pubmed': ['30909928'], 'medline': [], 'doi': '10.1186/s12936-019-2742-x', 'pii': '10.1186/s12936-019-2742-x', 'rid': '30909928', 'eid': '30909928'}, attributes={})	['Keven JB', 'Katusele M', 'Vinit R', 'Koimbu G', 'Vincent N', 'Thomsen EK', 'Karl S', 'Reimer LJ', 'Walker ED']	10.1186/s12936-019-2742-x	2019 Mar 25	Malaria journal	1	Walker ED	101139802	2019 Mar 25	['Journal Article']	PubMed - in process	Malar J	Species abundance, composition, and nocturnal activity of female Anopheles (Diptera: Culicidae) in malaria-endemic villages of Papua New Guinea: assessment with barrier screen sampling.
30904112	DictElement({'pubmed': ['30904112'], 'medline': [], 'pii': 'S2542-5196(19)30035-X', 'doi': '10.1016/S2542-5196(19)30035-X', 'rid': '30904112', 'eid': '30904112'}, attributes={})	['Killeen GF', 'Govella NJ', 'Mlacha YP', 'Chaki PP']	10.1016/S2542-5196(19)30035-X	2019 Mar	The Lancet. Planetary health	1	Chaki PP	101704339	2019 Mar	['Journal Article']	PubMed - in process	Lancet Planet Health	Suppression of malaria vector densities and human infection prevalence associated with scale-up of mosquito-proofed housing in Dar es Salaam, Tanzania: re-analysis of an observational series of parasitological and entomological surveys.
30901727	DictElement({'pubmed': ['30901727'], 'medline': [], 'pii': 'S0956-5663(19)30184-8', 'doi': '10.1016/j.bios.2019.02.064', 'rid': '30901727', 'eid': '30901727'}, attributes={})	['Yamamoto T', 'Yatsushiro S', 'Hashimoto M', 'Kajimoto K', 'Ido Y', 'Abe K', 'Sofue Y', 'Nogami T', 'Hayashi T', 'Nagatomi K', 'Minakawa N', 'Oka H', 'Mita T', 'Kataoka M']	10.1016/j.bios.2019.02.064	2019 May 1	Biosensors & bioelectronics	1	Kataoka M	9001289	2019 May 1	['Journal Article']	PubMed - in process	Biosens Bioelectron	Development of a highly sensitive, quantitative, and rapid detection system for Plasmodium falciparum-infected red blood cells using a fluorescent blue-ray optical system.
30865052	DictElement({'pubmed': ['30865052'], 'medline': [], 'doi': '10.1097/QAI.0000000000001955', 'pii': '00126334-201904150-00014', 'rid': '30865052', 'eid': '30865052'}, attributes={})	['Gulhati V', 'Soo J', 'Ransy DG', 'Brophy J', 'Kakkar F', 'Bitnun A', 'Samson L', 'Read S', 'Soudeyns H', 'Hawkes MT', 'for EPIC4 Study Group.']	10.1097/QAI.0000000000001955	2019 Apr 15	Journal of acquired immune deficiency syndromes (1999)	1	Hawkes MT	100892005	2019 Apr 15	['Journal Article']	PubMed - in process	J Acquir Immune Defic Syndr	Brief Report: Higher Levels of Angiopoietin-1 Are Associated With Early and Sustained Viral Suppression in Children Living With Vertically Acquired HIV.
30859792	DictElement({'pubmed': ['30859792'], 'medline': [], 'pii': 'j8/1-2/77', 'doi': '10.2991/j.jegh.2018.09.001', 'rid': '30859792', 'eid': '30859792'}, attributes={})	['Mabaso MLH', 'Zama TP', 'Mlangeni L', 'Mbiza S', 'Mkhize-Kwitshana ZL']	10.2991/j.jegh.2018.09.001	2018 Dec	Journal of epidemiology and global health	1	Mkhize-Kwitshana ZL	101592084	2018 Dec	['Journal Article']	PubMed - in process	J Epidemiol Glob Health	Association between the Human Development Index and Millennium Development Goals 6 Indicators in Sub-Saharan Africa from 2000 to 2014: Implications for the New Sustainable Development Goals.
30850239	DictElement({'pubmed': ['30850239'], 'medline': [], 'pii': 'S0264-410X(19)30288-9', 'doi': '10.1016/j.vaccine.2019.02.071', 'rid': '30850239', 'eid': '30850239'}, attributes={})	['Miura K', 'Deng B', 'Wu Y', 'Zhou L', 'Pham TP', 'Diouf A', 'Wu CK', 'Lee SM', 'Plieskatt JL', 'Morin MJ', 'Long CA']	10.1016/j.vaccine.2019.02.071	2019 Apr 3	Vaccine	1	Long CA	8406899	2019 Apr 3	['Journal Article']	PubMed - in process	Vaccine	ELISA units, IgG subclass ratio and avidity determined functional activity of mouse anti-Pfs230 antibodies judged by a standard membrane-feeding assay with Plasmodium falciparum.
30805602	DictElement({'pubmed': ['30805602'], 'medline': [], 'pii': '5364875', 'doi': '10.1093/inthealth/ihy099', 'rid': '30805602', 'eid': '30805602'}, attributes={})	['Zahlawi T', 'Roome AB', 'Chan CW', 'Campbell JJ', 'Tosiro B', 'Malanga M', 'Tagaro M', 'Obed J', 'Iaruel J', 'Taleo G', 'Tarivonda L', 'Olszowy KM', 'Dancause KN']	10.1093/inthealth/ihy099	2019 Feb 26	International health	1	Dancause KN	101517095	2019 Feb 26	['Journal Article']	PubMed - as supplied by publisher	Int Health	Psychosocial support during displacement due to a natural disaster: relationships with distress in a lower-middle income country.
30804461	DictElement({'pubmed': ['30804461'], 'medline': [], 'doi': '10.1038/s41371-019-0178-y', 'pii': '10.1038/s41371-019-0178-y', 'rid': '30804461', 'eid': '30804461'}, attributes={})	['Lule SA', 'Namara B', 'Akurut H', 'Lubyayi L', 'Nampijja M', 'Akello F', 'Tumusiime J', 'Aujo JC', 'Oduru G', 'Mentzer AJ', 'Smeeth L', 'Elliott AM', 'Webb EL']	10.1038/s41371-019-0178-y	2019 Feb 25	Journal of human hypertension	1	Webb EL	8811625	2019 Feb 25	['Journal Article']	PubMed - as supplied by publisher	J Hum Hypertens	Blood pressure risk factors in early adolescents: results from a Ugandan birth cohort.
30786906	DictElement({'pubmed': ['30786906'], 'medline': [], 'doi': '10.1186/s12936-019-2676-3', 'pii': '10.1186/s12936-019-2676-3', 'pmc': 'PMC6381678', 'rid': '30786906', 'eid': '30786906', 'pmcid': 'pmc-id: PMC6381678;'}, attributes={})	['Balami AD', 'Said SM', 'Zulkefli NAM', 'Bachok N', 'Audu B']	10.1186/s12936-019-2676-3	2019 Feb 20	Malaria journal	1	Audu B	101139802	2019 Feb 20	['Journal Article', 'Randomized Controlled Trial']	PubMed - indexed for MEDLINE	Malar J	Effects of a health educational intervention on malaria knowledge, motivation, and behavioural skills: a randomized controlled trial.
30781529	DictElement({'pubmed': ['30781529'], 'medline': [], 'pii': 'nu11020420', 'doi': '10.3390/nu11020420', 'rid': '30781529', 'eid': '30781529'}, attributes={})	['Mwangi MN', 'Echoka E', 'Knijff M', 'Kaduka L', 'Werema BG', 'Kinya FM', 'Mutisya R', 'Muniu EM', 'Demir AY', 'Verhoef H', 'Bourdet-Sicard R']	10.3390/nu11020420	2019 Feb 16	Nutrients	1	Bourdet-Sicard R	101521595	2019 Feb 16	['Journal Article']	PubMed - in process	Nutrients	Iron Status of Kenyan Pregnant Women after Adjusting for Inflammation Using BRINDA Regression Analysis and Other Correction Methods.
