Id	ArticleIds	AuthorList	DOI	PubDate	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
30575213	DictElement({'pubmed': ['30575213'], 'medline': [], 'doi': '10.1002/jemt.23170', 'rid': '30575213', 'eid': '30575213'}, attributes={})	['Abbas N', 'Saba T', 'Rehman A', 'Mehmood Z', 'Kolivand H', 'Uddin M', 'Anjum A']	10.1002/jemt.23170	2019 Mar	Microscopy research and technique	1	Anjum A	9203012	2019 Mar	['Journal Article']	PubMed - in process	Microsc Res Tech	Plasmodium life cycle stage classification based quantification of malaria parasitaemia in thin blood smears.
29998591	DictElement({'pubmed': ['29998591'], 'medline': [], 'doi': '10.1002/ptr.6133', 'rid': '29998591', 'eid': '29998591'}, attributes={})	['Pereira Rocha M', 'Rodrigues Valadares Campana P', 'de Oliveira Scoaris D', 'de Almeida VL', 'Dias Lopes JC', 'Fonseca Silva A', 'Pieters L', 'Gontijo Silva C']	10.1002/ptr.6133	2018 Oct	Phytotherapy research : PTR	1	Gontijo Silva C	8904486	2018 Oct	['Journal Article']	PubMed - indexed for MEDLINE	Phytother Res	Biological activities of extracts from Aspidosperma subincanum Mart. and in silico prediction for inhibition of acetylcholinesterase.
29760095	DictElement({'pubmed': ['29760095'], 'medline': [], 'pii': '1801512115', 'doi': '10.1073/pnas.1801512115', 'pmc': 'PMC5984526', 'rid': '29760095', 'eid': '29760095', 'pmcid': 'pmc-id: PMC5984526;'}, attributes={})	['De Moraes CM', 'Wanjiku C', 'Stanczyk NM', 'Pulido H', 'Sims JW', 'Betz HS', 'Read AF', 'Torto B', 'Mescher MC']	10.1073/pnas.1801512115	2018 May 29	Proceedings of the National Academy of Sciences of the United States of America	1	Mescher MC	7505876	2018 May 29	['Journal Article']	PubMed - indexed for MEDLINE	Proc Natl Acad Sci U S A	Volatile biomarkers of symptomatic and asymptomatic malaria infection in humans.
29676064	DictElement({'pubmed': ['29676064'], 'medline': [], 'doi': '10.1002/jbio.201800101', 'rid': '29676064', 'eid': '29676064'}, attributes={})	['Go T', 'Kim JH', 'Byeon H', 'Lee SJ']	10.1002/jbio.201800101	2018 Sep	Journal of biophotonics	1	Lee SJ	101318567	2018 Sep	['Journal Article']	PubMed - in process	J Biophotonics	Machine learning-based in-line holographic sensing of unstained malaria-infected red blood cells.
29407988	DictElement({'pubmed': ['29407988'], 'medline': [], 'pii': 'S0223-5234(18)30075-8', 'doi': '10.1016/j.ejmech.2018.01.062', 'rid': '29407988', 'eid': '29407988'}, attributes={})	['Levatić J', 'Pavić K', 'Perković I', 'Uzelac L', 'Ester K', 'Kralj M', 'Kaiser M', 'Rottmann M', 'Supek F', 'Zorc B']	10.1016/j.ejmech.2018.01.062	2018 Feb 25	European journal of medicinal chemistry	1	Zorc B	0420510	2018 Feb 25	['Journal Article']	PubMed - indexed for MEDLINE	Eur J Med Chem	Machine learning prioritizes synthesis of primaquine ureidoamides with high antimalarial activity and attenuated cytotoxicity.
29096442	DictElement({'pubmed': ['29096442'], 'medline': [], 'doi': '10.1021/acs.molpharmaceut.7b00578', 'pmc': 'PMC5741413', 'mid': 'NIHMS927142', 'rid': '29096442', 'eid': '29096442', 'pmcid': 'pmc-id: PMC5741413;manuscript-id: NIHMS927142;'}, attributes={})	['Korotcov A', 'Tkachenko V', 'Russo DP', 'Ekins S']	10.1021/acs.molpharmaceut.7b00578	2017 Dec 4	Molecular pharmaceutics	1	Ekins S	101197791	2017 Dec 4	['Journal Article']	PubMed - indexed for MEDLINE	Mol Pharm	Comparison of Deep Learning With Multiple Machine Learning Methods and Metrics Using Diverse Drug Discovery Data Sets.
28962616	DictElement({'pubmed': ['28962616'], 'medline': [], 'doi': '10.1186/s12936-017-2041-3', 'pii': '10.1186/s12936-017-2041-3', 'pmc': 'PMC5622501', 'rid': '28962616', 'eid': '28962616', 'pmcid': 'pmc-id: PMC5622501;'}, attributes={})	['Siriwardhana C', 'Fang R', 'Salanti A', 'Leke RGF', 'Bobbili N', 'Taylor DW', 'Chen JJ']	10.1186/s12936-017-2041-3	2017 Sep 29	Malaria journal	1	Chen JJ	101139802	2017 Sep 29	['Journal Article']	PubMed - indexed for MEDLINE	Malar J	Statistical prediction of immunity to placental malaria based on multi-assay antibody data for malarial antigens.
28690382	DictElement({'pubmed': ['28690382'], 'medline': [], 'doi': '10.6026/97320630013154', 'pii': '97320630013154', 'pmc': 'PMC5498782', 'rid': '28690382', 'eid': '28690382', 'pmcid': 'pmc-id: PMC5498782;'}, attributes={})	['Bharti DR', 'Lynn AM']	10.6026/97320630013154	2017	Bioinformation	1	Lynn AM	101258255	2017	['Journal Article']	PubMed	Bioinformation	QSAR based predictive modeling for anti-malarial molecules.
27837008	DictElement({'pubmed': ['27837008'], 'medline': [], 'pii': 'jiw531', 'doi': '10.1093/infdis/jiw531', 'pmc': 'PMC6392473', 'rid': '27837008', 'eid': '27837008', 'pmcid': 'pmc-id: PMC6392473;'}, attributes={})	['Silterra J', 'Gillette MA', 'Lanaspa M', 'Pellé KG', 'Valim C', 'Ahmad R', 'Acácio S', 'Almendinger KD', 'Tan Y', 'Madrid L', 'Alonso PL', 'Carr SA', 'Wiegand RC', 'Bassat Q', 'Mesirov JP', 'Milner DA Jr', 'Wirth DF']	10.1093/infdis/jiw531	2017 Jan 15	The Journal of infectious diseases	1	Wirth DF	0413675	2017 Jan 15	['Journal Article']	PubMed - indexed for MEDLINE	J Infect Dis	Transcriptional Categorization of the Etiology of Pneumonia Syndrome in Pediatric Patients in Malaria-Endemic Areas.
26994406	DictElement({'pubmed': ['26994406'], 'medline': [], 'doi': '10.1111/mec.13619', 'rid': '26994406', 'eid': '26994406'}, attributes={})	['He Q', 'Knowles LL']	10.1111/mec.13619	2016 May	Molecular ecology	1	Knowles LL	9214478	2016 May	['Journal Article']	PubMed - indexed for MEDLINE	Mol Ecol	Identifying targets of selection in mosaic genomes with machine learning: applications in Anopheles gambiae for detecting sites within locally adapted chromosomal inversions.
