Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
30944913	DictElement({'pubmed': ['30944913'], 'medline': [], 'doi': '10.1093/jamiaopen/ooy061', 'pii': 'ooy061', 'pmc': 'PMC6435007', 'rid': '30944913', 'eid': '30944913', 'pmcid': 'pmc-id: PMC6435007;'}, attributes={})	['Guan M', 'Cho S', 'Petro R', 'Zhang W', 'Pasche B', 'Topaloglu U']	10.1093/jamiaopen/ooy061	JAMIA open	1	Topaloglu U	101730643	2019 Apr	['Journal Article']	PubMed	JAMIA Open	Natural language processing and recurrent network models for identifying genomic mutation-associated cancer treatment change from patient progress notes.
30904597	DictElement({'pubmed': ['30904597'], 'medline': [], 'pii': 'S1542-0124(18)30284-2', 'doi': '10.1016/j.jtos.2019.03.003', 'rid': '30904597', 'eid': '30904597'}, attributes={})	['Habibalahi A', 'Bala C', 'Allende A', 'Anwer AG', 'Goldys EM']	10.1016/j.jtos.2019.03.003	The ocular surface	1	Goldys EM	101156063	2019 Mar 20	['Journal Article']	PubMed - as supplied by publisher	Ocul Surf	Novel automated non invasive detection of ocular surface squamous neoplasia using multispectral autofluorescence imaging.
30800172	DictElement({'pubmed': ['30800172'], 'medline': [], 'doi': '10.1155/2019/5145646', 'pmc': 'PMC6360053', 'rid': '30800172', 'eid': '30800172', 'pmcid': 'pmc-id: PMC6360053;'}, attributes={})	['Liu Y', 'Li X', 'Feng X', 'Wang L']	10.1155/2019/5145646	Computational and mathematical methods in medicine	1	Wang L	101277751	2019	['Journal Article']	PubMed - in process	Comput Math Methods Med	A Novel Neighborhood-Based Computational Model for Potential MiRNA-Disease Association Prediction.
30785874	DictElement({'pubmed': ['30785874'], 'medline': [], 'doi': '10.1371/journal.pcbi.1006826', 'pii': 'PCOMPBIOL-D-18-01261', 'pmc': 'PMC6398862', 'rid': '30785874', 'eid': '30785874', 'pmcid': 'pmc-id: PMC6398862;'}, attributes={})	['van IJzendoorn DGP', 'Szuhai K', 'Briaire-de Bruijn IH', 'Kostine M', 'Kuijjer ML', 'Bovée JVMG']	10.1371/journal.pcbi.1006826	PLoS computational biology	1	Bovée JVMG	101238922	2019 Feb	['Journal Article']	PubMed - indexed for MEDLINE	PLoS Comput Biol	Machine learning analysis of gene expression data reveals novel diagnostic and prognostic biomarkers and identifies therapeutic targets for soft tissue sarcomas.
30712281	DictElement({'pubmed': ['30712281'], 'medline': [], 'doi': '10.1002/acm2.12542', 'pmc': 'PMC6370983', 'rid': '30712281', 'eid': '30712281', 'pmcid': 'pmc-id: PMC6370983;'}, attributes={})	['Jensen C', 'Carl J', 'Boesen L', 'Langkilde NC', 'Østergaard LR']	10.1002/acm2.12542	Journal of applied clinical medical physics	1	Østergaard LR	101089176	2019 Feb	['Journal Article']	PubMed - in process	J Appl Clin Med Phys	Assessment of prostate cancer prognostic Gleason grade group using zonal-specific features extracted from biparametric MRI using a KNN classifier.
30666841	DictElement({'pubmed': ['30666841'], 'medline': [], 'pii': '60.191', 'doi': '10.3349/ymj.2019.60.2.191', 'pmc': 'PMC6342710', 'rid': '30666841', 'eid': '30666841', 'pmcid': 'pmc-id: PMC6342710;'}, attributes={})	['Choi BG', 'Rha SW', 'Kim SW', 'Kang JH', 'Park JY', 'Noh YK']	10.3349/ymj.2019.60.2.191	Yonsei medical journal	1	Noh YK	0414003	2019 Feb	['Journal Article']	PubMed - indexed for MEDLINE	Yonsei Med J	Machine Learning for the Prediction of New-Onset Diabetes Mellitus during 5-Year Follow-up in Non-Diabetic Patients with Cardiovascular Risks.
30622931	DictElement({'pubmed': ['30622931'], 'medline': [], 'doi': '10.3389/fonc.2018.00648', 'pmc': 'PMC6308146', 'rid': '30622931', 'eid': '30622931', 'pmcid': 'pmc-id: PMC6308146;'}, attributes={})	['Li S', 'Wang K', 'Hou Z', 'Yang J', 'Ren W', 'Gao S', 'Meng F', 'Wu P', 'Liu B', 'Liu J', 'Yan J']	10.3389/fonc.2018.00648	Frontiers in oncology	1	Yan J	101568867	2018	['Journal Article']	PubMed	Front Oncol	Use of Radiomics Combined With Machine Learning Method in the Recurrence Patterns After Intensity-Modulated Radiotherapy for Nasopharyngeal Carcinoma: A Preliminary Study.
30611843	DictElement({'pubmed': ['30611843'], 'medline': [], 'pii': 'S0303-2647(18)30268-5', 'doi': '10.1016/j.biosystems.2018.12.009', 'rid': '30611843', 'eid': '30611843'}, attributes={})	['Ayyad SM', 'Saleh AI', 'Labib LM']	10.1016/j.biosystems.2018.12.009	Bio Systems	1	Labib LM	0430773	2019 Feb	['Journal Article']	PubMed - in process	Biosystems	Gene expression cancer classification using modified K-Nearest Neighbors technique.
30598076	DictElement({'pubmed': ['30598076'], 'medline': [], 'doi': '10.1186/s12859-018-2522-6', 'pii': '10.1186/s12859-018-2522-6', 'pmc': 'PMC6311892', 'rid': '30598076', 'eid': '30598076', 'pmcid': 'pmc-id: PMC6311892;'}, attributes={})	['Yan C', 'Wang J', 'Wu FX']	10.1186/s12859-018-2522-6	BMC bioinformatics	1	Wu FX	100965194	2018 Dec 31	['Journal Article']	PubMed - indexed for MEDLINE	BMC Bioinformatics	DWNN-RLS: regularized least squares method for predicting circRNA-disease associations.
30528092	DictElement({'pubmed': ['30528092'], 'medline': [], 'pii': 'S1546-1440(18)31203-1', 'doi': '10.1016/j.jacr.2018.09.041', 'rid': '30528092', 'eid': '30528092'}, attributes={})	['Mao N', 'Yin P', 'Wang Q', 'Liu M', 'Dong J', 'Zhang X', 'Xie H', 'Hong N']	10.1016/j.jacr.2018.09.041	Journal of the American College of Radiology : JACR	1	Hong N	101190326	2019 Apr	['Journal Article']	PubMed - in process	J Am Coll Radiol	Added Value of Radiomics on Mammography for Breast Cancer Diagnosis: A Feasibility Study.
30455569	DictElement({'pubmed': ['30455569'], 'medline': [], 'doi': '10.1177/1176935118810215', 'pii': '10.1177_1176935118810215', 'pmc': 'PMC6238199', 'rid': '30455569', 'eid': '30455569', 'pmcid': 'pmc-id: PMC6238199;'}, attributes={})	['Zhao M', 'Tang Y', 'Kim H', 'Hasegawa K']	10.1177/1176935118810215	Cancer informatics	1	Hasegawa K	101258149	2018	['Journal Article']	PubMed	Cancer Inform	Machine Learning With K-Means Dimensional Reduction for Predicting Survival Outcomes in Patients With Breast Cancer.
30441551	DictElement({'pubmed': ['30441551'], 'medline': [], 'doi': '10.1109/EMBC.2018.8513521', 'rid': '30441551', 'eid': '30441551'}, attributes={})	['Hsu YH', 'Si D']	10.1109/EMBC.2018.8513521	Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference	1	Si D	101243413	2018 Jul	['Journal Article']	PubMed - in process	Conf Proc IEEE Eng Med Biol Soc	Cancer Type Prediction and Classification Based on RNA-sequencing Data.
30428899	DictElement({'pubmed': ['30428899'], 'medline': [], 'doi': '10.1186/s12957-018-1519-y', 'pii': '10.1186/s12957-018-1519-y', 'pmc': 'PMC6237021', 'rid': '30428899', 'eid': '30428899', 'pmcid': 'pmc-id: PMC6237021;'}, attributes={})	['Li C', 'Zeng X', 'Yu H', 'Gu Y', 'Zhang W']	10.1186/s12957-018-1519-y	World journal of surgical oncology	1	Zhang W	101170544	2018 Nov 14	['Journal Article']	PubMed - indexed for MEDLINE	World J Surg Oncol	Identification of hub genes with diagnostic values in pancreatic cancer by bioinformatics analyses and supervised learning methods.
