Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
31046999	DictElement({'pubmed': ['31046999'], 'medline': [], 'pii': 'S0169-2607(19)30049-5', 'doi': '10.1016/j.cmpb.2019.03.011', 'rid': '31046999', 'eid': '31046999'}, attributes={})	['Hussain D', 'Han SM']	10.1016/j.cmpb.2019.03.011	Computer methods and programs in biomedicine	1	Han SM	8506513	2019 May	['Journal Article']	PubMed - in process	Comput Methods Programs Biomed	Computer-aided osteoporosis detection from DXA imaging.
31046885	DictElement({'pubmed': ['31046885'], 'medline': [], 'doi': '10.5993/AJHB.43.3.9', 'rid': '31046885', 'eid': '31046885'}, attributes={})	['Nelson SH', 'Natarajan L', 'Patterson RE', 'Hartman SJ', 'Thompson CA', 'Godbole SV', 'Johnson E', 'Marinac CR', 'Kerr J']	10.5993/AJHB.43.3.9	American journal of health behavior	1	Kerr J	9602338	2019 May 1	['Journal Article']	PubMed - in process	Am J Health Behav	Physical Activity Change in an RCT: Comparison of Measurement Methods.
31045212	DictElement({'pubmed': ['31045212'], 'medline': [], 'pii': '2732847', 'doi': '10.1001/jamaoto.2019.0981', 'rid': '31045212', 'eid': '31045212'}, attributes={})	['Karadaghy OA', 'Shew M', 'New J', 'Bur AM']	10.1001/jamaoto.2019.0981	JAMA otolaryngology-- head & neck surgery	1	Bur AM	101589542	2019 May 2	['Journal Article']	PubMed - as supplied by publisher	JAMA Otolaryngol Head Neck Surg	Development and Assessment of a Machine Learning Model to Help Predict Survival Among Patients With Oral Squamous Cell Carcinoma.
31044723	DictElement({'pubmed': ['31044723'], 'medline': [], 'pii': 'S1470-2045(19)30154-8', 'doi': '10.1016/S1470-2045(19)30154-8', 'rid': '31044723', 'eid': '31044723'}, attributes={})	['Niazi MKK', 'Parwani AV', 'Gurcan MN']	10.1016/S1470-2045(19)30154-8	The Lancet. Oncology	1	Gurcan MN	100957246	2019 May	['Journal Article', 'Review']	PubMed - in process	Lancet Oncol	Digital pathology and artificial intelligence.
31042365	DictElement({'pubmed': ['31042365'], 'medline': [], 'doi': '10.1021/acs.analchem.9b00770', 'rid': '31042365', 'eid': '31042365'}, attributes={})	['Solovyeva EM', 'Kopysov VN', 'Pereverzev AY', 'Lobas AA', 'Moshkovskii SA', 'Gorshkov MV', 'Boyarkin OV']	10.1021/acs.analchem.9b00770	Analytical chemistry	1	Boyarkin OV	0370536	2019 May 1	['Journal Article']	PubMed - as supplied by publisher	Anal Chem	Method for Identification of Threonine Isoforms in Peptides by Ultraviolet Photofragmentation of Cold Ions.
31042157	DictElement({'pubmed': ['31042157'], 'medline': [], 'pii': 'v21i5e11030', 'doi': '10.2196/11030', 'rid': '31042157', 'eid': '31042157'}, attributes={})	['Woldaregay AZ', 'Årsand E', 'Botsis T', 'Albers D', 'Mamykina L', 'Hartvigsen G']	10.2196/11030	Journal of medical Internet research	1	Hartvigsen G	100959882	2019 May 1	['Journal Article', 'Review']	PubMed - in process	J Med Internet Res	Data-Driven Blood Glucose Pattern Classification and Anomalies Detection: Machine-Learning Applications in Type 1 Diabetes.
31041822	DictElement({'pubmed': ['31041822'], 'medline': [], 'doi': '10.1002/jmri.26763', 'rid': '31041822', 'eid': '31041822'}, attributes={})	['Alvi E', 'Gupta R', 'Borok RZ', 'Escobar-Hoyos L', 'Shroyer KR']	10.1002/jmri.26763	Journal of magnetic resonance imaging : JMRI	1	Shroyer KR	9105850	2019 Apr 30	['Journal Article', 'Review']	PubMed - as supplied by publisher	J Magn Reson Imaging	Overview of established and emerging immunohistochemical biomarkers and their role in correlative studies in MRI.
31040006	DictElement({'pubmed': ['31040006'], 'medline': [], 'pii': 'S0009-9260(19)30169-2', 'doi': '10.1016/j.crad.2019.04.002', 'rid': '31040006', 'eid': '31040006'}, attributes={})	['Prior F', 'Almeida J', 'Kathiravelu P', 'Kurc T', 'Smith K', 'Fitzgerald TJ', 'Saltz J']	10.1016/j.crad.2019.04.002	Clinical radiology	1	Saltz J	1306016	2019 Apr 27	['Journal Article']	PubMed - as supplied by publisher	Clin Radiol	Open access image repositories: high-quality data to enable machine learning research.
31039827	DictElement({'pubmed': ['31039827'], 'medline': [], 'doi': '10.1186/s13073-019-0637-7', 'pii': '10.1186/s13073-019-0637-7', 'rid': '31039827', 'eid': '31039827'}, attributes={})	['Loeffler-Wirth H', 'Kreuz M', 'Hopp L', 'Arakelyan A', 'Haake A', 'Cogliatti SB', 'Feller AC', 'Hansmann ML', 'Lenze D', 'Möller P', 'Müller-Hermelink HK', 'Fortenbacher E', 'Willscher E', 'Ott G', 'Rosenwald A', 'Pott C', 'Schwaenen C', 'Trautmann H', 'Wessendorf S', 'Stein H', 'Szczepanowski M', 'Trümper L', 'Hummel M', 'Klapper W', 'Siebert R', 'Loeffler M', 'Binder H', 'German Cancer Aid consortium Molecular Mechanisms for Malignant Lymphoma.']	10.1186/s13073-019-0637-7	Genome medicine	1	Binder H	101475844	2019 Apr 30	['Journal Article']	PubMed - in process	Genome Med	A modular transcriptome map of mature B cell lymphomas.
31039782	DictElement({'pubmed': ['31039782'], 'medline': [], 'doi': '10.1186/s12915-019-0654-4', 'pii': '10.1186/s12915-019-0654-4', 'rid': '31039782', 'eid': '31039782'}, attributes={})	['Lagziel S', 'Lee WD', 'Shlomi T']	10.1186/s12915-019-0654-4	BMC biology	1	Shlomi T	101190720	2019 Apr 30	['Journal Article']	PubMed - in process	BMC Biol	Inferring cancer dependencies on metabolic genes from large-scale genetic screens.
31038827	DictElement({'pubmed': ['31038827'], 'medline': [], 'doi': '10.1111/resp.13564', 'rid': '31038827', 'eid': '31038827'}, attributes={})	['de Chazal P', 'Sutherland K', 'Cistulli PA']	10.1111/resp.13564	Respirology (Carlton, Vic.)	1	Cistulli PA	9616368	2019 Apr 30	['Journal Article', 'Review']	PubMed - as supplied by publisher	Respirology	Advanced polysomnographic analysis for OSA: A pathway to personalized management?
31035762	DictElement({'pubmed': ['31035762'], 'medline': [], 'doi': '10.1021/acs.jpcb.9b01159', 'rid': '31035762', 'eid': '31035762'}, attributes={})	['Taylor JN', 'Mochizuki K', 'Hashimoto K', 'Kumamoto Y', 'Harada Y', 'Fujita K', 'Komatsuzaki T']	10.1021/acs.jpcb.9b01159	The journal of physical chemistry. B	1	Komatsuzaki T	101157530	2019 Apr 29	['Journal Article']	PubMed - as supplied by publisher	J Phys Chem B	High-Resolution Raman Microscopic Detection of Follicular Thyroid Cancer Cells with Unsupervised Machine Learning.
