Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
33742070	{'pubmed': ['33742070'], 'medline': [], 'doi': '10.1038/s41598-021-85671-y', 'pii': '10.1038/s41598-021-85671-y', 'rid': '33742070', 'eid': '33742070'}	['Lombardo E', 'Kurz C', 'Marschner S', 'Avanzo M', 'Gagliardi V', 'Fanetti G', 'Franchin G', 'Stancanello J', 'Corradini S', 'Niyazi M', 'Belka C', 'Parodi K', 'Riboldi M', 'Landry G']	10.1038/s41598-021-85671-y	Scientific reports	1	Landry G	101563288	2021 Mar 19	['Journal Article']	PubMed - as supplied by publisher	Sci Rep	Distant metastasis time to event analysis with CNNs in independent head and neck cancer cohorts.
33733206	{'pubmed': ['33733206'], 'medline': [], 'doi': '10.3389/frai.2020.550890', 'pmc': 'PMC7861273', 'rid': '33733206', 'eid': '33733206', 'pmcid': 'pmc-id: PMC7861273;'}	['Zhang Y', 'Lobo-Mueller EM', 'Karanicolas P', 'Gallinger S', 'Haider MA', 'Khalvati F']	10.3389/frai.2020.550890	Frontiers in artificial intelligence	1	Khalvati F	101770551	2020	['Journal Article']	PubMed	Front Artif Intell	Prognostic Value of Transfer Learning Based Features in Resectable Pancreatic Ductal Adenocarcinoma.
33732553	{'pubmed': ['33732553'], 'medline': [], 'doi': '10.7717/peerj.11006', 'pii': '11006', 'pmc': 'PMC7953869', 'rid': '33732553', 'eid': '33732553', 'pmcid': 'pmc-id: PMC7953869;'}	['Sobecki P', 'Jóźwiak R', 'Sklinda K', 'Przelaskowski A']	10.7717/peerj.11006	PeerJ	1	Przelaskowski A	101603425	2021	['Journal Article']	PubMed	PeerJ	Effect of domain knowledge encoding in CNN model architecture-a prostate cancer study using mpMRI images.
33730681	{'pubmed': ['33730681'], 'medline': [], 'pii': 'S1386-5056(21)00064-2', 'doi': '10.1016/j.ijmedinf.2021.104438', 'rid': '33730681', 'eid': '33730681'}	['Sedighi-Maman Z', 'Mondello A']	10.1016/j.ijmedinf.2021.104438	International journal of medical informatics	1	Mondello A	9711057	2021 Mar 11	['Journal Article']	PubMed - as supplied by publisher	Int J Med Inform	A two-stage modeling approach for breast cancer survivability prediction.
33729928	{'pubmed': ['33729928'], 'medline': [], 'doi': '10.1109/TMI.2021.3066295', 'rid': '33729928', 'eid': '33729928'}	['Pinckaers H', 'Bulten W', 'Van der Laak J', 'Litjens G']	10.1109/TMI.2021.3066295	IEEE transactions on medical imaging	1	Litjens G	8310780	2021 Mar 17	['Journal Article']	PubMed - as supplied by publisher	IEEE Trans Med Imaging	Detection of prostate cancer in whole-slide images through end-to-end training with image-level labels.
33727623	{'pubmed': ['33727623'], 'medline': [], 'doi': '10.1038/s41598-021-84630-x', 'pii': '10.1038/s41598-021-84630-x', 'pmc': 'PMC7943565', 'rid': '33727623', 'eid': '33727623', 'pmcid': 'pmc-id: PMC7943565;'}	['Chaunzwa TL', 'Hosny A', 'Xu Y', 'Shafer A', 'Diao N', 'Lanuti M', 'Christiani DC', 'Mak RH', 'Aerts HJWL']	10.1038/s41598-021-84630-x	Scientific reports	1	Aerts HJWL	101563288	2021 Mar 9	['Journal Article']	PubMed - in process	Sci Rep	Deep learning classification of lung cancer histology using CT images.
33724743	{'pubmed': ['33724743'], 'medline': [], 'doi': '10.1007/978-3-030-67194-5_10', 'pmc': 'PMC7929493', 'mid': 'NIHMS1667763', 'rid': '33724743', 'eid': '33724743', 'pmcid': 'pmc-id: PMC7929493;manuscript-id: NIHMS1667763;embargo-date: 2021/10/01;'}	['Naser MA', 'van Dijk LV', 'He R', 'Wahid KA', 'Fuller CD']	10.1007/978-3-030-67194-5_10	Head and Neck Tumor Segmentation : First Challenge, HECKTOR 2020, Held in Conjunction with MICCAI 2020, Lima, Peru, October 4, 2020, Proceedings	1	Fuller CD	101775705	2021	['Journal Article']	PubMed	Head Neck Tumor Segm (2020)	Tumor Segmentation in Patients with Head and Neck Cancers Using Deep Learning Based-on Multi-modality PET/CT Images Double click to edit.
33723274	{'pubmed': ['33723274'], 'medline': [], 'doi': '10.1038/s41598-021-85276-5', 'pii': '10.1038/s41598-021-85276-5', 'pmc': 'PMC7961147', 'rid': '33723274', 'eid': '33723274', 'pmcid': 'pmc-id: PMC7961147;'}	['Bonnevie ED', 'Ashinsky BG', 'Dekky B', 'Volk SW', 'Smith HE', 'Mauck RL']	10.1038/s41598-021-85276-5	Scientific reports	1	Mauck RL	101563288	2021 Mar 15	['Journal Article']	PubMed - in process	Sci Rep	Cell morphology and mechanosensing can be decoupled in fibrous microenvironments and identified using artificial neural networks.
33722896	{'pubmed': ['33722896'], 'medline': [], 'pii': '1078-0432.CCR-20-4119', 'doi': '10.1158/1078-0432.CCR-20-4119', 'rid': '33722896', 'eid': '33722896'}	['Marostica E', 'Barber R', 'Denize T', 'Kohane IS', 'Signoretti S', 'Golden JA', 'Yu KH']	10.1158/1078-0432.CCR-20-4119	Clinical cancer research : an official journal of the American Association for Cancer Research	1	Yu KH	9502500	2021 Mar 15	['Journal Article']	PubMed - as supplied by publisher	Clin Cancer Res	Development of a histopathology informatics pipeline for classification and prediction of clinical outcome in subtypes of renal cell carcinoma.
33719168	{'pubmed': ['33719168'], 'medline': [], 'doi': '10.1002/jmri.27599', 'rid': '33719168', 'eid': '33719168'}	['Khosravi P', 'Lysandrou M', 'Eljalby M', 'Li Q', 'Kazemi E', 'Zisimopoulos P', 'Sigaras A', 'Brendel M', 'Barnes J', 'Ricketts C', 'Meleshko D', 'Yat A', 'McClure TD', 'Robinson BD', 'Sboner A', 'Elemento O', 'Chughtai B', 'Hajirasouliha I']	10.1002/jmri.27599	Journal of magnetic resonance imaging : JMRI	1	Hajirasouliha I	9105850	2021 Mar 14	['Journal Article']	PubMed - as supplied by publisher	J Magn Reson Imaging	A Deep Learning Approach to Diagnostic Classification of Prostate Cancer Using Pathology-Radiology Fusion.
33718406	{'pubmed': ['33718406'], 'medline': [], 'doi': '10.3389/fmed.2021.628179', 'pmc': 'PMC7953145', 'rid': '33718406', 'eid': '33718406', 'pmcid': 'pmc-id: PMC7953145;'}	['Pinochet P', 'Eude F', 'Becker S', 'Shah V', 'Sibille L', 'Toledano MN', 'Modzelewski R', 'Vera P', 'Decazes P']	10.3389/fmed.2021.628179	Frontiers in medicine	1	Decazes P	101648047	2021	['Journal Article']	PubMed	Front Med (Lausanne)	Evaluation of an Automatic Classification Algorithm Using Convolutional Neural Networks in Oncological Positron Emission Tomography.
33711572	{'pubmed': ['33711572'], 'medline': [], 'pii': 'S0720-048X(21)00088-7', 'doi': '10.1016/j.ejrad.2021.109608', 'rid': '33711572', 'eid': '33711572'}	['Xiang H', 'Huang YS', 'Lee CH', 'Chang Chien TY', 'Lee CK', 'Liu L', 'Li A', 'Lin X', 'Chang RF']	10.1016/j.ejrad.2021.109608	European journal of radiology	1	Chang RF	8106411	2021 Mar 2	['Journal Article']	PubMed - as supplied by publisher	Eur J Radiol	3-D Res-CapsNet convolutional neural network on automated breast ultrasound tumor diagnosis.
33710363	{'pubmed': ['33710363'], 'medline': [], 'doi': '10.1007/s00120-021-01492-x', 'pii': '10.1007/s00120-021-01492-x', 'rid': '33710363', 'eid': '33710363'}	['Bonekamp D', 'Schlemmer HP']	10.1007/s00120-021-01492-x	Der Urologe. Ausg. A	1	Schlemmer HP	1304110	2021 Mar 12	['Journal Article', 'Review']	PubMed - as supplied by publisher	Urologe A	[Machine learning and multiparametric MRI for early diagnosis of prostate cancer].
33708918	{'pubmed': ['33708918'], 'medline': [], 'doi': '10.21037/atm-20-5060', 'pii': 'atm-09-04-291', 'pmc': 'PMC7944332', 'rid': '33708918', 'eid': '33708918', 'pmcid': 'pmc-id: PMC7944332;'}	['Zhang Z', 'Ren J', 'Tao X', 'Tang W', 'Zhao S', 'Zhou L', 'Huang Y', 'Wang J', 'Wu N']	10.21037/atm-20-5060	Annals of translational medicine	1	Wu N	101617978	2021 Feb	['Journal Article']	PubMed	Ann Transl Med	Automatic segmentation of pulmonary lobes on low-dose computed tomography using deep learning.
