Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
31013619	DictElement({'pubmed': ['31013619'], 'medline': [], 'pii': 'ijms20081964', 'doi': '10.3390/ijms20081964', 'rid': '31013619', 'eid': '31013619'}, attributes={})	['Boopathi V', 'Subramaniyam S', 'Malik A', 'Lee G', 'Manavalan B', 'Yang DC']	10.3390/ijms20081964	International journal of molecular sciences	1	Yang DC	101092791	2019 Apr 22	['Journal Article']	PubMed - in process	Int J Mol Sci	mACPpred: A Support Vector Machine-Based Meta-Predictor for Identification of Anticancer Peptides.
31011953	DictElement({'pubmed': ['31011953'], 'medline': [], 'doi': '10.1007/s11682-019-00064-0', 'pii': '10.1007/s11682-019-00064-0', 'rid': '31011953', 'eid': '31011953'}, attributes={})	['Dai XJ', 'Liu BX', 'Ai S', 'Nie X', 'Xu Q', 'Hu J', 'Zhang Q', 'Xu Y', 'Zhang Z', 'Lu G']	10.1007/s11682-019-00064-0	Brain imaging and behavior	1	Lu G	101300405	2019 Apr 23	['Journal Article']	PubMed - as supplied by publisher	Brain Imaging Behav	Altered inter-hemispheric communication of default-mode and visual networks underlie etiology of primary insomnia : Altered inter-hemispheric communication underlie etiology of insomnia.
31011830	DictElement({'pubmed': ['31011830'], 'medline': [], 'doi': '10.1007/s10916-019-1267-8', 'pii': '10.1007/s10916-019-1267-8', 'rid': '31011830', 'eid': '31011830'}, attributes={})	['Ramya Devi R', 'Anandhamala GS']	10.1007/s10916-019-1267-8	Journal of medical systems	1	Anandhamala GS	7806056	2019 Apr 22	['Journal Article']	PubMed - in process	J Med Syst	Analysis of Breast Thermograms Using Asymmetry in Infra-Mammary Curves.
31008570	DictElement({'pubmed': ['31008570'], 'medline': [], 'doi': '10.1002/cyto.a.23774', 'rid': '31008570', 'eid': '31008570'}, attributes={})	['Lam VK', 'Nguyen T', 'Phan T', 'Chung BM', 'Nehmetallah G', 'Raub CB']	10.1002/cyto.a.23774	Cytometry. Part A : the journal of the International Society for Analytical Cytology	1	Raub CB	101235694	2019 Apr 22	['Journal Article']	PubMed - as supplied by publisher	Cytometry A	Machine Learning with Optical Phase Signatures for Phenotypic Profiling of Cell Lines.
31007759	DictElement({'pubmed': ['31007759'], 'medline': [], 'doi': '10.3892/ol.2019.10068', 'pii': 'OL-0-0-10068', 'pmc': 'PMC6466999', 'rid': '31007759', 'eid': '31007759', 'pmcid': 'pmc-id: PMC6466999;'}, attributes={})	['Ancuceanu R', 'Dinu M', 'Neaga I', 'Laszlo FG', 'Boda D']	10.3892/ol.2019.10068	Oncology letters	1	Boda D	101531236	2019 May	['Journal Article']	PubMed	Oncol Lett	Development of QSAR machine learning-based models to forecast the effect of substances on malignant melanoma cells.
31005162	DictElement({'pubmed': ['31005162'], 'medline': [], 'pii': 'S0720-048X(19)30003-8', 'doi': '10.1016/j.ejrad.2019.01.003', 'rid': '31005162', 'eid': '31005162'}, attributes={})	['Wang T', 'Gao T', 'Yang J', 'Yan X', 'Wang Y', 'Zhou X', 'Tian J', 'Huang L', 'Zhang M']	10.1016/j.ejrad.2019.01.003	European journal of radiology	1	Zhang M	8106411	2019 May	['Journal Article']	PubMed - in process	Eur J Radiol	Preoperative prediction of pelvic lymph nodes metastasis in early-stage cervical cancer using radiomics nomogram developed based on T2-weighted MRI and diffusion-weighted imaging.
31004329	DictElement({'pubmed': ['31004329'], 'medline': [], 'doi': '10.1007/s13258-019-00816-8', 'pii': '10.1007/s13258-019-00816-8', 'rid': '31004329', 'eid': '31004329'}, attributes={})	['Bhowmick SS', 'Bhattacharjee D', 'Rato L']	10.1007/s13258-019-00816-8	Genes & genomics	1	Rato L	101481027	2019 Apr 19	['Journal Article']	PubMed - as supplied by publisher	Genes Genomics	In silico markers: an evolutionary and statistical approach to select informative genes of human breast cancer subtypes.
31002358	DictElement({'pubmed': ['31002358'], 'medline': [], 'doi': '10.3892/or.2019.7108', 'rid': '31002358', 'eid': '31002358'}, attributes={})	['Dong J', 'Xu M']	10.3892/or.2019.7108	Oncology reports	1	Xu M	9422756	2019 Jun	['Journal Article']	PubMed - in process	Oncol Rep	A 19‑miRNA Support Vector Machine classifier and a 6‑miRNA risk score system designed for ovarian cancer patients.
31000087	DictElement({'pubmed': ['31000087'], 'medline': [], 'pii': 'S1120-1797(19)30068-7', 'doi': '10.1016/j.ejmp.2019.03.024', 'rid': '31000087', 'eid': '31000087'}, attributes={})	['Astaraki M', 'Wang C', 'Buizza G', 'Toma-Dasu I', 'Lazzeroni M', 'Smedby Ö']	10.1016/j.ejmp.2019.03.024	Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB)	1	Smedby Ö	9302888	2019 Apr	['Journal Article']	PubMed - in process	Phys Med	Early survival prediction in non-small cell lung cancer from PET/CT images using an intra-tumor partitioning method.
30999843	DictElement({'pubmed': ['30999843'], 'medline': [], 'doi': '10.1186/s12859-019-2683-y', 'pii': '10.1186/s12859-019-2683-y', 'rid': '30999843', 'eid': '30999843'}, attributes={})	['Perconti G', 'Rubino P', 'Contino F', 'Bivona S', 'Bertolazzi G', 'Tumminello M', 'Feo S', 'Giallongo A', 'Coronnello C']	10.1186/s12859-019-2683-y	BMC bioinformatics	1	Coronnello C	100965194	2019 Apr 18	['Journal Article']	PubMed - in process	BMC Bioinformatics	RIP-Chip analysis supports different roles for AGO2 and GW182 proteins in recruiting and processing microRNA targets.
