Id	PubDate	FullJournalName	date	year	month
30909928	2019 Mar 25	Malaria journal	2019-03-25	2019.0	3.0
30904112	2019 Mar	The Lancet. Planetary health	2019-03-01	2019.0	3.0
30901727	2019 May 1	Biosensors & bioelectronics	2019-05-01	2019.0	5.0
30865052	2019 Apr 15	Journal of acquired immune deficiency syndromes (1999)	2019-04-15	2019.0	4.0
30859792	2018 Dec	Journal of epidemiology and global health	2018-12-01	2018.0	12.0
30850239	2019 Apr 3	Vaccine	2019-04-03	2019.0	4.0
30805602	2019 Feb 26	International health	2019-02-26	2019.0	2.0
30804461	2019 Feb 25	Journal of human hypertension	2019-02-25	2019.0	2.0
30786906	2019 Feb 20	Malaria journal	2019-02-20	2019.0	2.0
30781529	2019 Feb 16	Nutrients	2019-02-16	2019.0	2.0
30775354	2019 Jan	Clinical and experimental vaccine research	2019-01-01	2019.0	1.0
30767358	2019 Feb 15	Tropical medicine & international health : TM & IH	2019-02-15	2019.0	2.0
30728060	2019 Feb 6	Parasites & vectors	2019-02-06	2019.0	2.0
30726224	2019	PloS one	2019-01-01	2019.0	1.0
30706585	2019 Jan 31	Tropical medicine & international health : TM & IH	2019-01-31	2019.0	1.0
30701351	2019 Jan 30	Die Naturwissenschaften	2019-01-30	2019.0	1.0
30659538	2018	Current topics in medicinal chemistry	2018-01-01	2018.0	1.0
30630763	2019 Jan 7	Journal of infection and public health	2019-01-07	2019.0	1.0
30611278	2019 Jan 5	Malaria journal	2019-01-05	2019.0	1.0
30593271	2018 Dec 28	BMC pediatrics	2018-12-28	2018.0	12.0
30585147	2018 Dec 26	Parasitology	2018-12-26	2018.0	12.0
30522524	2018 Dec 7	Infectious diseases of poverty	2018-12-07	2018.0	12.0
30530597	2019 Feb	Antimicrobial agents and chemotherapy	2019-02-01	2019.0	2.0
30518399	2018 Dec 5	Malaria journal	2018-12-05	2018.0	12.0
30509693	2019 Jan 7	Vaccine	2019-01-07	2019.0	1.0
30427935	2018 Nov	PLoS pathogens	2018-11-01	2018.0	11.0
30348209	2018 Oct 22	Parasites & vectors	2018-10-22	2018.0	10.0
30282959	2018 Oct 3	Genes	2018-10-03	2018.0	10.0
30234178	2018 Nov	Parasite epidemiology and control	2018-11-01	2018.0	11.0
30231938	2018 Sep 20	BMC medicine	2018-09-20	2018.0	9.0
30206336	2018 Sep 11	International journal of obesity (2005)	2018-09-11	2018.0	9.0
30169629	2019 Jan 1	Journal of chromatographic science	2019-01-01	2019.0	1.0
30157850	2018 Aug 29	Malaria journal	2018-08-29	2018.0	8.0
30120591	2018 Aug 17	Journal of molecular modeling	2018-08-17	2018.0	8.0
30114201	2018	PloS one	2018-01-01	2018.0	1.0
30044224	2018 Jul 25	eLife	2018-07-25	2018.0	7.0
29992330	2019 Jan 1	American journal of epidemiology	2019-01-01	2019.0	1.0
29970153	2018 Jul 3	Parasites & vectors	2018-07-03	2018.0	7.0
29956431	2018 Sep	Tropical medicine & international health : TM & IH	2018-09-01	2018.0	9.0
29926974	2018 Dec	Medical and veterinary entomology	2018-12-01	2018.0	12.0
29885612	2018 Oct	Environmental research	2018-10-01	2018.0	10.0
29879170	2018	PloS one	2018-01-01	2018.0	1.0
29866113	2018 Jun 4	Malaria journal	2018-06-04	2018.0	6.0
29774291	2017 Nov	Parasite epidemiology and control	2017-11-01	2017.0	11.0
29757523	2018 Jun	Journal of vector ecology : journal of the Society for Vector Ecology	2018-06-01	2018.0	6.0
29692310	2018 Jul	The American journal of tropical medicine and hygiene	2018-07-01	2018.0	7.0
29606018	2018 May	Annals of human biology	2018-05-01	2018.0	5.0
29552642	2017	Wellcome open research	2017-01-01	2017.0	1.0
29540186	2018 Mar 14	Malaria journal	2018-03-14	2018.0	3.0
29529859	2018	Epidemiology and health	2018-01-01	2018.0	1.0
29522089	2018 Sep 14	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	2018-09-14	2018.0	9.0
29505584	2018	PloS one	2018-01-01	2018.0	1.0
29482559	2018 Feb 27	International journal of health geographics	2018-02-27	2018.0	2.0
29452110	2018 May	Acta tropica	2018-05-01	2018.0	5.0
29439870	2018 Mar 14	Vaccine	2018-03-14	2018.0	3.0
29421401	2018 Apr	Environment international	2018-04-01	2018.0	4.0
29374222	2018 Jan 26	Scientific reports	2018-01-26	2018.0	1.0
29372060	2018	BMC hematology	2018-01-01	2018.0	1.0
29370261	2018	PloS one	2018-01-01	2018.0	1.0
29347985	2018 Jan 18	Malaria journal	2018-01-18	2018.0	1.0
29336158	2018 Mar 2	Journal of proteome research	2018-03-02	2018.0	3.0
29238965	2018 Sep	Biometrics	2018-09-01	2018.0	9.0
29207305	2018 Jan 1	Journal of chromatography. B, Analytical technologies in the biomedical and life sciences	2018-01-01	2018.0	1.0
29179064	2018 Jan 1	Journal of chromatography. B, Analytical technologies in the biomedical and life sciences	2018-01-01	2018.0	1.0
29165226	2018 Jan	The American journal of tropical medicine and hygiene	2018-01-01	2018.0	1.0
29149315	2017 Nov 1	Health policy and planning	2017-11-01	2017.0	11.0
29061148	2017 Oct 23	Malaria journal	2017-10-23	2017.0	10.0
29028827	2017	PloS one	2017-01-01	2017.0	1.0
28985689	2018 Feb	Annals of medicine	2018-02-01	2018.0	2.0
28981665	2017 Nov 1	Health policy and planning	2017-11-01	2017.0	11.0
28968911	2017 Nov 7	Journal of medical entomology	2017-11-07	2017.0	11.0
28964255	2017 Sep 30	Malaria journal	2017-09-30	2017.0	9.0
28962616	2017 Sep 29	Malaria journal	2017-09-29	2017.0	9.0
28934435	2017 Sep 15	The Journal of infectious diseases	2017-09-15	2017.0	9.0
28931634	2017 Sep	Journal of the Royal Society, Interface	2017-09-01	2017.0	9.0
28931241	2017 Aug 15	The Journal of infectious diseases	2017-08-15	2017.0	8.0
28926409	2017 Nov 28	AIDS (London, England)	2017-11-28	2017.0	11.0
28895236	2018 Jan	Journal of molecular recognition : JMR	2018-01-01	2018.0	1.0
28863865	2017 Sep 15	Journal of chromatography. B, Analytical technologies in the biomedical and life sciences	2017-09-15	2017.0	9.0
28851533	2017 Nov	The Journal of infection	2017-11-01	2017.0	11.0
28841864	2017 Aug 25	Malaria journal	2017-08-25	2017.0	8.0
28814295	2017 Aug 16	BMC health services research	2017-08-16	2017.0	8.0
28813452	2017	PloS one	2017-01-01	2017.0	1.0
28801554	2017 Aug 11	Scientific reports	2017-08-11	2017.0	8.0
28792500	2017 Aug	PLoS medicine	2017-08-01	2017.0	8.0
28770094	2017	BMC hematology	2017-01-01	2017.0	1.0
28768839	2017 Sep	The Journal of nutrition	2017-09-01	2017.0	9.0
28760265	2017 Aug	Spatial and spatio-temporal epidemiology	2017-08-01	2017.0	8.0
28744443	2017 Jun 21	Public health action	2017-06-21	2017.0	6.0
28716087	2017 Jul 17	Malaria journal	2017-07-17	2017.0	7.0
28695570	2017 Dec	British journal of clinical pharmacology	2017-12-01	2017.0	12.0
28690382	2017	Bioinformation	2017-01-01	2017.0	1.0
28687086	2017 Jul 7	Malaria journal	2017-07-07	2017.0	7.0
28679420	2017 Jul 6	Infectious diseases of poverty	2017-07-06	2017.0	7.0
28677517	2017 Sep	Epidemiology and infection	2017-09-01	2017.0	9.0
28645255	2017 Jun 23	BMC infectious diseases	2017-06-23	2017.0	6.0
28615259	2017 Jul	The American journal of clinical nutrition	2017-07-01	2017.0	7.0
28615251	2017 Jul	The American journal of clinical nutrition	2017-07-01	2017.0	7.0
28615061	2017 Jun 15	BMC medicine	2017-06-15	2017.0	6.0
28612053	2017	Wellcome open research	2017-01-01	2017.0	1.0
28592572	2017 Jun 6	BMJ open	2017-06-06	2017.0	6.0
