Id	PubDate	FullJournalName	date	year	month
30931155	2019	Journal of pregnancy	2019-01-01	2019.0	1.0
30891071	2019	Journal of tropical medicine	2019-01-01	2019.0	1.0
30880921	2019	Patient preference and adherence	2019-01-01	2019.0	1.0
30871551	2019 Mar 11	Malaria journal	2019-03-11	2019.0	3.0
30867636	2019	Tropical medicine and health	2019-01-01	2019.0	1.0
30866924	2019 Mar 11	BMC health services research	2019-03-11	2019.0	3.0
30860013	2019 Mar 11	The American journal of tropical medicine and hygiene	2019-03-11	2019.0	3.0
30845998	2019 Mar 7	Malaria journal	2019-03-07	2019.0	3.0
30843638	2019 Mar 7	Tropical medicine & international health : TM & IH	2019-03-07	2019.0	3.0
30802426	2019 Feb 22	Acta tropica	2019-02-22	2019.0	2.0
30795764	2019 Feb 22	Malaria journal	2019-02-22	2019.0	2.0
30793683	2019 Feb 18	The American journal of tropical medicine and hygiene	2019-02-18	2019.0	2.0
30789314	2019 Feb 21	Vector borne and zoonotic diseases (Larchmont, N.Y.)	2019-02-21	2019.0	2.0
30786905	2019 Feb 20	Malaria journal	2019-02-20	2019.0	2.0
30786891	2019 Feb 20	Malaria journal	2019-02-20	2019.0	2.0
30786883	2019 Feb 20	BMC public health	2019-02-20	2019.0	2.0
30777070	2019 Feb 18	Malaria journal	2019-02-18	2019.0	2.0
30736456	2019 Feb 7	Tropical medicine and infectious disease	2019-02-07	2019.0	2.0
30726218	2019	PloS one	2019-01-01	2019.0	1.0
30682097	2019	PloS one	2019-01-01	2019.0	1.0
30658602	2019 Jan 18	BMC pediatrics	2019-01-18	2019.0	1.0
30650322	2019 Jan 17	The New England journal of medicine	2019-01-17	2019.0	1.0
30642347	2019 Jan 14	Malaria journal	2019-01-14	2019.0	1.0
30629580	2019 Jan	PLoS neglected tropical diseases	2019-01-01	2019.0	1.0
30621669	2019 Jan 8	BMC public health	2019-01-08	2019.0	1.0
30602987	2018 Sep	African health sciences	2018-09-01	2018.0	9.0
30598821	2018	Archives of public health = Archives belges de sante publique	2018-01-01	2018.0	1.0
30588344	2018	BMJ global health	2018-01-01	2018.0	1.0
30587238	2018 Dec 19	Infectious diseases of poverty	2018-12-19	2018.0	12.0
30579868	2019 Jan	EBioMedicine	2019-01-01	2019.0	1.0
30576335	2018 Dec	PLoS neglected tropical diseases	2018-12-01	2018.0	12.0
30574247	2018	The Pan African medical journal	2018-01-01	2018.0	1.0
30562390	2018	PloS one	2018-01-01	2018.0	1.0
30558586	2018 Dec 17	BMC public health	2018-12-17	2018.0	12.0
30541456	2018 Dec 12	BMC infectious diseases	2018-12-12	2018.0	12.0
30522524	2018 Dec 7	Infectious diseases of poverty	2018-12-07	2018.0	12.0
30538862	2018	Anemia	2018-01-01	2018.0	1.0
30535153	2018 Dec 7	The Journal of infectious diseases	2018-12-07	2018.0	12.0
