Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
33600494	{'pubmed': ['33600494'], 'medline': [], 'doi': '10.1371/journal.pntd.0009138', 'pii': 'PNTD-D-20-01548', 'pmc': 'PMC7924789', 'rid': '33600494', 'eid': '33600494', 'pmcid': 'pmc-id: PMC7924789;'}	['Afolabi MO', 'Ale BM', 'Dabira ED', 'Agbla SC', 'Bustinduy AL', 'Ndiaye JLA', 'Greenwood B']	10.1371/journal.pntd.0009138	PLoS neglected tropical diseases	1	Greenwood B	101291488	2021 Feb	['Journal Article']	PubMed - in process	PLoS Negl Trop Dis	Malaria and helminth co-infections in children living in endemic countries: A systematic review with meta-analysis.
33501751	{'pubmed': ['33501751'], 'medline': [], 'doi': '10.1111/ele.13675', 'pmc': 'PMC7969392', 'mid': 'NIHMS1656382', 'rid': '33501751', 'eid': '33501751', 'pmcid': 'pmc-id: PMC7969392;manuscript-id: NIHMS1656382;embargo-date: 2021/04/01;'}	['Athni TS', 'Shocket MS', 'Couper LI', 'Nova N', 'Caldwell IR', 'Caldwell JM', 'Childress JN', 'Childs ML', 'De Leo GA', 'Kirk DG', 'MacDonald AJ', 'Olivarius K', 'Pickel DG', 'Roberts SO', 'Winokur OC', 'Young HS', 'Cheng J', 'Grant EA', 'Kurzner PM', 'Kyaw S', 'Lin BJ', 'Lopez RC', 'Massihpour DS', 'Olsen EC', 'Roache M', 'Ruiz A', 'Schultz EA', 'Shafat M', 'Spencer RL', 'Bharti N', 'Mordecai EA']	10.1111/ele.13675	Ecology letters	1	Mordecai EA	101121949	2021 Apr	['Journal Article', 'Review']	PubMed - indexed for MEDLINE	Ecol Lett	The influence of vector-borne disease on human history: socio-ecological mechanisms.
33249286	{'pubmed': ['33249286'], 'medline': [], 'pii': 'S1201-9712(20)32490-5', 'doi': '10.1016/j.ijid.2020.11.177', 'rid': '33249286', 'eid': '33249286'}	['Bria YP', 'Yeh CH', 'Bedingfield S']	10.1016/j.ijid.2020.11.177	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	1	Bedingfield S	9610933	2021 Feb	['Journal Article']	PubMed - in process	Int J Infect Dis	Significant symptoms and nonsymptom-related factors for malaria diagnosis in endemic regions of Indonesia.
33245636	{'pubmed': ['33245636'], 'medline': [], 'doi': '10.1002/jbio.202000123', 'rid': '33245636', 'eid': '33245636'}	['Awasthi N', 'Katare P', 'Gorthi SS', 'Yalavarthy PK']	10.1002/jbio.202000123	Journal of biophotonics	1	Yalavarthy PK	101318567	2020 Nov	['Journal Article']	PubMed - in process	J Biophotonics	Guided filter based image enhancement for focal error compensation in low cost automated histopathology microscopic system.
33176716	{'pubmed': ['33176716'], 'medline': [], 'doi': '10.1186/s12879-020-05453-1', 'pii': '10.1186/s12879-020-05453-1', 'pmc': 'PMC7656677', 'rid': '33176716', 'eid': '33176716', 'pmcid': 'pmc-id: PMC7656677;'}	['Yu H', 'Yang F', 'Rajaraman S', 'Ersoy I', 'Moallem G', 'Poostchi M', 'Palaniappan K', 'Antani S', 'Maude RJ', 'Jaeger S']	10.1186/s12879-020-05453-1	BMC infectious diseases	1	Jaeger S	100968551	2020 Nov 11	['Journal Article']	PubMed - indexed for MEDLINE	BMC Infect Dis	Malaria Screener: a smartphone application for automated malaria screening.
33095812	{'pubmed': ['33095812'], 'medline': [], 'doi': '10.1371/journal.pone.0241033', 'pii': 'PONE-D-20-03773', 'pmc': 'PMC7584202', 'rid': '33095812', 'eid': '33095812', 'pmcid': 'pmc-id: PMC7584202;'}	['Mugenyi L', 'Nankabirwa JI', 'Arinaitwe E', 'Rek J', 'Hens N', 'Kamya M', 'Dorsey G']	10.1371/journal.pone.0241033	PloS one	1	Dorsey G	101285081	2020	['Journal Article']	PubMed - indexed for MEDLINE	PLoS One	Estimating the optimal interval between rounds of indoor residual spraying of insecticide using malaria incidence data from cohort studies.
33081784	{'pubmed': ['33081784'], 'medline': [], 'doi': '10.1186/s12936-020-03446-8', 'pii': '10.1186/s12936-020-03446-8', 'pmc': 'PMC7573874', 'rid': '33081784', 'eid': '33081784', 'pmcid': 'pmc-id: PMC7573874;'}	['Rathmes G', 'Rumisha SF', 'Lucas TCD', 'Twohig KA', 'Python A', 'Nguyen M', 'Nandi AK', 'Keddie SH', 'Collins EL', 'Rozier JA', 'Gibson HS', 'Chestnutt EG', 'Battle KE', 'Humphreys GS', 'Amratia P', 'Arambepola R', 'Bertozzi-Villa A', 'Hancock P', 'Millar JJ', 'Symons TL', 'Bhatt S', 'Cameron E', 'Guerin PJ', 'Gething PW', 'Weiss DJ']	10.1186/s12936-020-03446-8	Malaria journal	1	Weiss DJ	101139802	2020 Oct 20	['Journal Article']	PubMed - in process	Malar J	Global estimation of anti-malarial drug effectiveness for the treatment of uncomplicated Plasmodium falciparum malaria 1991-2019.
33071001	{'pubmed': ['33071001'], 'medline': [], 'pii': 'S0264-410X(20)31253-6', 'doi': '10.1016/j.vaccine.2020.09.071', 'rid': '33071001', 'eid': '33071001'}	['Mo AXY', 'Pesce J', 'Augustine AD', 'Bodmer JL', 'Breen J', 'Leitner W', 'Hall BF']	10.1016/j.vaccine.2020.09.071	Vaccine	1	Hall BF	8406899	2020 Nov 10	['Journal Article']	PubMed - indexed for MEDLINE	Vaccine	Understanding vaccine-elicited protective immunity against pre-erythrocytic stage malaria in endemic regions.
32911503	{'pubmed': ['32911503'], 'medline': [], 'doi': '10.1371/journal.pone.0238504', 'pii': 'PONE-D-19-30728', 'pmc': 'PMC7482939', 'rid': '32911503', 'eid': '32911503', 'pmcid': 'pmc-id: PMC7482939;'}	['Semakula M', 'Niragire FI', 'Faes C']	10.1371/journal.pone.0238504	PloS one	1	Faes C	101285081	2020	['Journal Article']	PubMed - indexed for MEDLINE	PLoS One	Bayesian spatio-temporal modeling of malaria risk in Rwanda.
32878174	{'pubmed': ['32878174'], 'medline': [], 'pii': 'ijerph17176339', 'doi': '10.3390/ijerph17176339', 'pmc': 'PMC7504016', 'rid': '32878174', 'eid': '32878174', 'pmcid': 'pmc-id: PMC7504016;'}	['Ateba FF', 'Febrero-Bande M', 'Sagara I', 'Sogoba N', 'Touré M', 'Sanogo D', 'Diarra A', 'Magdalene Ngitah A', 'Winch PJ', 'Shaffer JG', 'Krogstad DJ', 'Marker HC', 'Gaudart J', 'Doumbia S']	10.3390/ijerph17176339	International journal of environmental research and public health	1	Doumbia S	101238455	2020 Aug 31	['Journal Article']	PubMed - indexed for MEDLINE	Int J Environ Res Public Health	Predicting Malaria Transmission Dynamics in Dangassa, Mali: A Novel Approach Using Functional Generalized Additive Models.
