Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
33735242	{'pubmed': ['33735242'], 'medline': [], 'doi': '10.1371/journal.pntd.0009285', 'pii': 'PNTD-D-20-01383', 'rid': '33735242', 'eid': '33735242'}	['Rubenstein BL', 'Roy SL', 'Unterwegner K', 'Yerian S', 'Weiss A', 'Zirimwabagabo H', 'Chop E', 'Romero M', 'Ouakou PT', 'Moundai T', 'Guagliardo SAJ']	10.1371/journal.pntd.0009285	PLoS neglected tropical diseases	1	Guagliardo SAJ	101291488	2021 Mar 18	['Journal Article']	PubMed - as supplied by publisher	PLoS Negl Trop Dis	Community-based Guinea worm surveillance in Chad: Evaluating a system at the intersection of human and animal disease.
33731146	{'pubmed': ['33731146'], 'medline': [], 'doi': '10.1186/s12936-021-03683-5', 'pii': '10.1186/s12936-021-03683-5', 'rid': '33731146', 'eid': '33731146'}	['Kamndaya M', 'Mfipa D', 'Lungu K']	10.1186/s12936-021-03683-5	Malaria journal	1	Lungu K	101139802	2021 Mar 17	['Journal Article']	PubMed - in process	Malar J	Household knowledge, perceptions and practices of mosquito larval source management for malaria prevention and control in Mwanza district, Malawi: a cross-sectional study.
33731115	{'pubmed': ['33731115'], 'medline': [], 'doi': '10.1186/s12936-021-03697-z', 'pii': '10.1186/s12936-021-03697-z', 'pmc': 'PMC7971958', 'rid': '33731115', 'eid': '33731115', 'pmcid': 'pmc-id: PMC7971958;'}	['Eba K', 'Habtewold T', 'Yewhalaw D', 'Christophides GK', 'Duchateau L']	10.1186/s12936-021-03697-z	Malaria journal	1	Duchateau L	101139802	2021 Mar 17	['Journal Article']	PubMed - in process	Malar J	Anopheles arabiensis hotspots along intermittent rivers drive malaria dynamics in semi-arid areas of Central Ethiopia.
33711024	{'pubmed': ['33711024'], 'medline': [], 'doi': '10.1371/journal.pone.0247474', 'pii': 'PONE-D-20-05286', 'rid': '33711024', 'eid': '33711024'}	['Getachew T', 'Abebe SM', 'Yitayal M', 'Persson LÅ', 'Berhanu D']	10.1371/journal.pone.0247474	PloS one	1	Berhanu D	101285081	2021	['Journal Article']	PubMed - in process	PLoS One	Association between a complex community intervention and quality of health extension workers' performance to correctly classify common childhood illnesses in four regions of Ethiopia.
33676522	{'pubmed': ['33676522'], 'medline': [], 'doi': '10.1186/s12936-021-03668-4', 'pii': '10.1186/s12936-021-03668-4', 'pmc': 'PMC7937307', 'rid': '33676522', 'eid': '33676522', 'pmcid': 'pmc-id: PMC7937307;'}	['Arisco NJ', 'Peterka C', 'Castro MC']	10.1186/s12936-021-03668-4	Malaria journal	1	Castro MC	101139802	2021 Mar 6	['Journal Article']	PubMed - in process	Malar J	Cross-border malaria in Northern Brazil.
33663516	{'pubmed': ['33663516'], 'medline': [], 'doi': '10.1186/s12936-021-03666-6', 'pii': '10.1186/s12936-021-03666-6', 'pmc': 'PMC7971121', 'rid': '33663516', 'eid': '33663516', 'pmcid': 'pmc-id: PMC7971121;'}	['Yirsaw AN', 'Gebremariam RB', 'Getnet WA', 'Mihret MS']	10.1186/s12936-021-03666-6	Malaria journal	1	Mihret MS	101139802	2021 Mar 4	['Journal Article']	PubMed - in process	Malar J	Insecticide-treated net utilization and associated factors among pregnant women and under-five children in East Belessa District, Northwest Ethiopia: using the Health Belief model.
33661729	{'pubmed': ['33661729'], 'medline': [], 'doi': '10.20344/amp.14098', 'rid': '33661729', 'eid': '33661729'}	['Conceição C', 'Medeiros M', 'Pereira N', 'Gonçalves L', 'Antunes A', 'Blondé E', 'Teodósio R', 'Araújo C', 'Pereira F']	10.20344/amp.14098	Acta medica portuguesa	1	Pereira F	7906803	2021 Mar 3	['Journal Article']	PubMed - as supplied by publisher	Acta Med Port	Health Problems During and After Travel: A Prospective Observational Study in a Travel Clinic in Portugal.
33658054	{'pubmed': ['33658054'], 'medline': [], 'doi': '10.1186/s12978-020-01061-z', 'pii': '10.1186/s12978-020-01061-z', 'pmc': 'PMC7931535', 'rid': '33658054', 'eid': '33658054', 'pmcid': 'pmc-id: PMC7931535;'}	['Whidden C', 'Keita Y', 'Treleaven E', 'Beckerman J', 'Johnson A', 'Cissé A', 'Liu J', 'Kayentao K']	10.1186/s12978-020-01061-z	Reproductive health	1	Kayentao K	101224380	2021 Mar 3	['Journal Article']	PubMed - in process	Reprod Health	Women's empowerment, intrahousehold influences, and health system design on modern contraceptive use in rural Mali: a multilevel analysis of cross-sectional survey data.
33655352	{'pubmed': ['33655352'], 'medline': [], 'doi': '10.1007/s00436-021-07093-z', 'pii': '10.1007/s00436-021-07093-z', 'rid': '33655352', 'eid': '33655352'}	['Tazebew B', 'Munshea A', 'Nibret E']	10.1007/s00436-021-07093-z	Parasitology research	1	Nibret E	8703571	2021 Mar 3	['Journal Article']	PubMed - as supplied by publisher	Parasitol Res	Prevalence and association of malaria with ABO blood group and hemoglobin level in individuals visiting Mekaneeyesus Primary Hospital, Estie District, northwest Ethiopia: a cross-sectional study.
33633729	{'pubmed': ['33633729'], 'medline': [], 'doi': '10.3389/fimmu.2020.609474', 'pmc': 'PMC7902058', 'rid': '33633729', 'eid': '33633729', 'pmcid': 'pmc-id: PMC7902058;'}	['Omondi BR', 'Muthui MK', 'Muasya WI', 'Orindi B', 'Mwakubambanya RS', 'Bousema T', 'Drakeley C', 'Marsh K', 'Bejon P', 'Kapulu MC']	10.3389/fimmu.2020.609474	Frontiers in immunology	1	Kapulu MC	101560960	2020	['Journal Article']	PubMed - in process	Front Immunol	Antibody Responses to Crude Gametocyte Extract Predict <i>Plasmodium falciparum</i> Gametocyte Carriage in Kenya.
