Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
33724378	{'pubmed': ['33724378'], 'medline': [], 'pii': '6174022', 'doi': '10.1093/femsre/fuab015', 'rid': '33724378', 'eid': '33724378'}	['Goodswen SJ', 'Barratt JLN', 'Kennedy PJ', 'Kaufer A', 'Calarco L', 'Ellis JT']	10.1093/femsre/fuab015	FEMS microbiology reviews	1	Ellis JT	8902526	2021 Mar 16	['Journal Article']	PubMed - as supplied by publisher	FEMS Microbiol Rev	Machine learning and applications in microbiology.
33639032	{'pubmed': ['33639032'], 'medline': [], 'doi': '10.1111/ijcp.14116', 'rid': '33639032', 'eid': '33639032'}	['Zawbaa H', 'El-Gendy A', 'Saeed H', 'Osama H', 'Ali AMA', 'Gomaa D', 'Abdelrahman M', 'Harb HS', 'Madney YM', 'Abdelrahim MEA']	10.1111/ijcp.14116	International journal of clinical practice	1	Abdelrahim MEA	9712381	2021 Feb 27	['Journal Article']	PubMed - as supplied by publisher	Int J Clin Pract	A study of the possible factors affecting COVID-19 spread, severity and mortality and the effect of social distancing on these factors: Machine learning forecasting model.
33632222	{'pubmed': ['33632222'], 'medline': [], 'doi': '10.1186/s12936-021-03631-3', 'pii': '10.1186/s12936-021-03631-3', 'pmc': 'PMC7905596', 'rid': '33632222', 'eid': '33632222', 'pmcid': 'pmc-id: PMC7905596;'}	['Horning MP', 'Delahunt CB', 'Bachman CM', 'Luchavez J', 'Luna C', 'Hu L', 'Jaiswal MS', 'Thompson CM', 'Kulhare S', 'Janko S', 'Wilson BK', 'Ostbye T', 'Mehanian M', 'Gebrehiwot R', 'Yun G', 'Bell D', 'Proux S', 'Carter JY', 'Oyibo W', 'Gamboa D', 'Dhorda M', 'Vongpromek R', 'Chiodini PL', 'Ogutu B', 'Long EG', 'Tun K', 'Burkot TR', 'Lilley K', 'Mehanian C']	10.1186/s12936-021-03631-3	Malaria journal	1	Mehanian C	101139802	2021 Feb 25	['Journal Article']	PubMed - in process	Malar J	Performance of a fully-automated system on a WHO malaria microscopy evaluation slide set.
33618772	{'pubmed': ['33618772'], 'medline': [], 'doi': '10.1186/s13321-021-00487-2', 'pii': '10.1186/s13321-021-00487-2', 'pmc': 'PMC7898753', 'rid': '33618772', 'eid': '33618772', 'pmcid': 'pmc-id: PMC7898753;'}	['Bosc N', 'Felix E', 'Arcila R', 'Mendez D', 'Saunders MR', 'Green DVS', 'Ochoada J', 'Shelat AA', 'Martin EJ', 'Iyer P', 'Engkvist O', 'Verras A', 'Duffy J', 'Burrows J', 'Gardner JMF', 'Leach AR']	10.1186/s13321-021-00487-2	Journal of cheminformatics	1	Leach AR	101516718	2021 Feb 22	['Journal Article']	PubMed	J Cheminform	MAIP: a web service for predicting blood-stage malaria inhibitors.
33561649	{'pubmed': ['33561649'], 'medline': [], 'pii': 'S0753-3322(21)00141-4', 'doi': '10.1016/j.biopha.2021.111356', 'pmc': 'PMC7857054', 'rid': '33561649', 'eid': '33561649', 'pmcid': 'pmc-id: PMC7857054;'}	['Kumar Verma A', 'Kumar V', 'Singh S', 'Goswami BC', 'Camps I', 'Sekar A', 'Yoon S', 'Lee KW']	10.1016/j.biopha.2021.111356	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	1	Lee KW	8213295	2021 Feb 3	['Journal Article']	PubMed - as supplied by publisher	Biomed Pharmacother	Repurposing potential of Ayurvedic medicinal plants derived active principles against SARS-CoV-2 associated target proteins revealed by molecular docking, molecular dynamics and MM-PBSA studies.
33534888	{'pubmed': ['33534888'], 'medline': [], 'pii': '6127315', 'doi': '10.1093/cid/ciaa1843', 'rid': '33534888', 'eid': '33534888'}	['Gillette MA', 'Mani DR', 'Uschnig C', 'Pellé KG', 'Madrid L', 'Acácio S', 'Lanaspa M', 'Alonso P', 'Valim C', 'Carr SA', 'Schaffner SF', 'MacInnis B', 'Milner DA', 'Bassat Q', 'Wirth DF']	10.1093/cid/ciaa1843	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	1	Wirth DF	9203213	2021 Feb 3	['Journal Article']	PubMed - as supplied by publisher	Clin Infect Dis	Biomarkers to distinguish bacterial from viral pediatric clinical pneumonia in a malaria endemic setting.
33521709	{'pubmed': ['33521709'], 'medline': [], 'doi': '10.1016/S2666-5247(20)30197-X', 'pii': 'S2666-5247(20)30197-X', 'pmc': 'PMC7837364', 'rid': '33521709', 'eid': '33521709', 'pmcid': 'pmc-id: PMC7837364;'}	['Rosado J', 'Pelleau S', 'Cockram C', 'Merkling SH', 'Nekkab N', 'Demeret C', 'Meola A', 'Kerneis S', 'Terrier B', 'Fafi-Kremer S', 'de Seze J', 'Bruel T', 'Dejardin F', 'Petres S', 'Longley R', 'Fontanet A', 'Backovic M', 'Mueller I', 'White MT']	10.1016/S2666-5247(20)30197-X	The Lancet. Microbe	1	White MT	101769019	2021 Feb	['Journal Article']	PubMed	Lancet Microbe	Multiplex assays for the identification of serological signatures of SARS-CoV-2 infection: an antibody-based diagnostic and machine learning study.
33509423	{'pubmed': ['33509423'], 'medline': [], 'pii': 'S1877-5845(20)30072-1', 'doi': '10.1016/j.sste.2020.100394', 'rid': '33509423', 'eid': '33509423'}	['Toh KB', 'Bliznyuk N', 'Valle D']	10.1016/j.sste.2020.100394	Spatial and spatio-temporal epidemiology	1	Valle D	101516571	2021 Feb	['Journal Article']	PubMed - in process	Spat Spatiotemporal Epidemiol	Improving national level spatial mapping of malaria through alternative spatial and spatio-temporal models.
33450011	{'pubmed': ['33450011'], 'medline': [], 'pii': '6101600', 'doi': '10.1093/nar/gkaa1245', 'rid': '33450011', 'eid': '33450011'}	['Neal ML', 'Wei L', 'Peterson E', 'Arrieta-Ortiz ML', 'Danziger SA', 'Baliga NS', 'Kaushansky A', 'Aitchison JD']	10.1093/nar/gkaa1245	Nucleic acids research	1	Aitchison JD	0411011	2021 Jan 15	['Journal Article']	PubMed - as supplied by publisher	Nucleic Acids Res	A systems-level gene regulatory network model for Plasmodium falciparum.
33426052	{'pubmed': ['33426052'], 'medline': [], 'doi': '10.1155/2020/2082540', 'pmc': 'PMC7771252', 'rid': '33426052', 'eid': '33426052', 'pmcid': 'pmc-id: PMC7771252;'}	['Ghedira K', 'Hamdi Y', 'El Béji A', 'Othman H']	10.1155/2020/2082540	BioMed research international	1	Othman H	101600173	2020	['Journal Article']	PubMed - in process	Biomed Res Int	An Integrative Computational Approach for the Prediction of Human-<i>Plasmodium</i> Protein-Protein Interactions.
