Id	ArticleIds	AuthorList	DOI	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
30917718	DictElement({'pubmed': ['30917718'], 'medline': [], 'doi': '10.1080/17538157.2019.1582056', 'rid': '30917718', 'eid': '30917718'}, attributes={})	['Sow B', 'Mukhtar H', 'Ahmad HF', 'Suguri H']	10.1080/17538157.2019.1582056	Informatics for health & social care	1	Suguri H	101475011	2019 Mar 27	['Journal Article']	PubMed - as supplied by publisher	Inform Health Soc Care	Assessing the relative importance of social determinants of health in malaria and anemia classiﬁcation based on machine learning techniques.
30253764	DictElement({'pubmed': ['30253764'], 'medline': [], 'doi': '10.1186/s12936-018-2493-0', 'pii': '10.1186/s12936-018-2493-0', 'pmc': 'PMC6157053', 'rid': '30253764', 'eid': '30253764', 'pmcid': 'pmc-id: PMC6157053;'}, attributes={})	['Torres K', 'Bachman CM', 'Delahunt CB', 'Alarcon Baldeon J', 'Alava F', 'Gamboa Vilela D', 'Proux S', 'Mehanian C', 'McGuire SK', 'Thompson CM', 'Ostbye T', 'Hu L', 'Jaiswal MS', 'Hunt VM', 'Bell D']	10.1186/s12936-018-2493-0	Malaria journal	1	Bell D	101139802	2018 Sep 25	['Journal Article']	PubMed - indexed for MEDLINE	Malar J	Automated microscopy for routine malaria diagnosis: a field comparison on Giemsa-stained blood films in Peru.
30035153	DictElement({'pubmed': ['30035153'], 'medline': [], 'doi': '10.1117/1.JMI.5.3.034501', 'pii': '18042R', 'pmc': 'PMC6050500', 'rid': '30035153', 'eid': '30035153', 'pmcid': 'pmc-id: PMC6050500;embargo-date: 2019/07/18;'}, attributes={})	['Rajaraman S', 'Silamut K', 'Hossain MA', 'Ersoy I', 'Maude RJ', 'Jaeger S', 'Thoma GR', 'Antani SK']	10.1117/1.JMI.5.3.034501	Journal of medical imaging (Bellingham, Wash.)	1	Antani SK	101643461	2018 Jul	['Journal Article']	PubMed	J Med Imaging (Bellingham)	Understanding the learned behavior of customized convolutional neural networks toward malaria parasite detection in thin blood smear images.
29721616	DictElement({'pubmed': ['29721616'], 'medline': [], 'doi': '10.1007/s10916-018-0962-1', 'pii': '10.1007/s10916-018-0962-1', 'rid': '29721616', 'eid': '29721616'}, attributes={})	['Hegde RB', 'Prasad K', 'Hebbar H', 'Singh BMK']	10.1007/s10916-018-0962-1	Journal of medical systems	1	Singh BMK	7806056	2018 May 2	['Journal Article']	PubMed - indexed for MEDLINE	J Med Syst	Development of a Robust Algorithm for Detection of Nuclei and Classification of White Blood Cells in Peripheral Blood Smear Images.
29682411	DictElement({'pubmed': ['29682411'], 'medline': [], 'doi': '10.7717/peerj.4568', 'pii': '4568', 'pmc': 'PMC5907772', 'rid': '29682411', 'eid': '29682411', 'pmcid': 'pmc-id: PMC5907772;'}, attributes={})	['Rajaraman S', 'Antani SK', 'Poostchi M', 'Silamut K', 'Hossain MA', 'Maude RJ', 'Jaeger S', 'Thoma GR']	10.7717/peerj.4568	PeerJ	1	Thoma GR	101603425	2018	['Journal Article']	PubMed	PeerJ	Pre-trained convolutional neural networks as feature extractors toward improved malaria parasite detection in thin blood smear images.
29392184	DictElement({'pubmed': ['29392184'], 'medline': [], 'doi': '10.1021/acscentsci.7b00512', 'pmc': 'PMC5785775', 'rid': '29392184', 'eid': '29392184', 'pmcid': 'pmc-id: PMC5785775;'}, attributes={})	['Segler MHS', 'Kogej T', 'Tyrchan C', 'Waller MP']	10.1021/acscentsci.7b00512	ACS central science	1	Waller MP	101660035	2018 Jan 24	['Journal Article']	PubMed	ACS Cent Sci	Generating Focused Molecule Libraries for Drug Discovery with Recurrent Neural Networks.
29241658	DictElement({'pubmed': ['29241658'], 'medline': [], 'pii': 'S0933-3657(16)30516-4', 'doi': '10.1016/j.artmed.2017.12.002', 'rid': '29241658', 'eid': '29241658'}, attributes={})	['Haddawy P', 'Hasan AHMI', 'Kasantikul R', 'Lawpoolsri S', 'Sa-Angchai P', 'Kaewkungwal J', 'Singhasivanon P']	10.1016/j.artmed.2017.12.002	Artificial intelligence in medicine	1	Singhasivanon P	8915031	2018 Jan	['Journal Article']	PubMed - indexed for MEDLINE	Artif Intell Med	Spatiotemporal Bayesian networks for malaria prediction.
29096442	DictElement({'pubmed': ['29096442'], 'medline': [], 'doi': '10.1021/acs.molpharmaceut.7b00578', 'pmc': 'PMC5741413', 'mid': 'NIHMS927142', 'rid': '29096442', 'eid': '29096442', 'pmcid': 'pmc-id: PMC5741413;manuscript-id: NIHMS927142;'}, attributes={})	['Korotcov A', 'Tkachenko V', 'Russo DP', 'Ekins S']	10.1021/acs.molpharmaceut.7b00578	Molecular pharmaceutics	1	Ekins S	101197791	2017 Dec 4	['Journal Article']	PubMed - indexed for MEDLINE	Mol Pharm	Comparison of Deep Learning With Multiple Machine Learning Methods and Metrics Using Diverse Drug Discovery Data Sets.
29031082	DictElement({'pubmed': ['29031082'], 'medline': [], 'pii': 'S0893-6080(17)30204-6', 'doi': '10.1016/j.neunet.2017.09.002', 'rid': '29031082', 'eid': '29031082'}, attributes={})	['Tchapet Njafa JP', 'Nana Engo SG']	10.1016/j.neunet.2017.09.002	Neural networks : the official journal of the International Neural Network Society	1	Nana Engo SG	8805018	2018 Jan	['Journal Article']	PubMed - indexed for MEDLINE	Neural Netw	Quantum associative memory with linear and non-linear algorithms for the diagnosis of some tropical diseases.
26777113	DictElement({'pubmed': ['26777113'], 'medline': [], 'pii': 'CAD-EPUB-73012', 'rid': '26777113', 'eid': '26777113'}, attributes={})	['Nilar SH', 'Lakshminarayana SB', 'Ma NL', 'Keller TH', 'Blasco F', 'Smith PW']		Current computer-aided drug design	1	Smith PW	101265750	2016	['Journal Article']	PubMed - indexed for MEDLINE	Curr Comput Aided Drug Des	Artificial Neural Network Analysis of Pharmacokinetic and Toxicity Properties of Lead Molecules for Dengue Fever, Tuberculosis and Malaria.
26234510	DictElement({'pubmed': ['26234510'], 'medline': [], 'pii': 'CCHTS-EPUB-69282', 'rid': '26234510', 'eid': '26234510'}, attributes={})	['Scotti L', 'Ishiki H', 'Mendonça Júnior FJ', 'da Silva MS', 'Scotti MT']		Combinatorial chemistry & high throughput screening	1	Scotti MT	9810948	2015	['Journal Article', 'Review']	PubMed - indexed for MEDLINE	Comb Chem High Throughput Screen	Artificial Neural Network Methods Applied to Drug Discovery for Neglected Diseases.
